Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance_x,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event,Country,Winner,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance_y
1930.0,13 Jul 1930 - 15:00 ,Group 4,Parque Central,Montevideo ,USA,3.0,0.0,Belgium, ,18346.0,2.0,0.0,MACIAS Jose (ARG),MATEUCCI Francisco (URU),WARNKEN Alberto (CHI),201.0,1090.0,USA,BEL,USA,MILLAR Bob (USA),S,0,Tom FLORIE,C,G45',Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590.549
1930.0,14 Jul 1930 - 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,2.0,1.0,Brazil, ,24059.0,2.0,0.0,TEJADA Anibal (URU),VALLARINO Ricardo (URU),BALWAY Thomas (FRA),201.0,1093.0,YUG,BRA,BRA,DE CARVALHO Pindaro (BRA),S,0,PREGUINHO,C,G62',Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590.549
1930.0,14 Jul 1930 - 14:50 ,Group 3,Pocitos,Montevideo ,Romania,3.0,1.0,Peru, ,2549.0,1.0,0.0,WARNKEN Alberto (CHI),LANGENUS Jean (BEL),MATEUCCI Francisco (URU),201.0,1098.0,ROU,PER,PER,BRU Francisco (ESP),S,0,Placido GALINDO,C,R70',Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590.549
1930.0,20 Jul 1930 - 13:00 ,Group 2,Estadio Centenario,Montevideo ,Brazil,4.0,0.0,Bolivia, ,25466.0,1.0,0.0,BALWAY Thomas (FRA),MATEUCCI Francisco (URU),VALLEJO Gaspar (MEX),201.0,1091.0,BRA,BOL,BRA,DE CARVALHO Pindaro (BRA),S,0,PREGUINHO,C,G67' G83',Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590.549
1930.0,20 Jul 1930 - 15:00 ,Group 4,Estadio Centenario,Montevideo ,Paraguay,1.0,0.0,Belgium, ,12000.0,1.0,0.0,VALLARINO Ricardo (URU),MACIAS Jose (ARG),LOMBARDI Domingo (URU),201.0,1089.0,PAR,BEL,PAR,DURAND LAGUNA Jose (ARG),S,0,Luis VARGAS PENA,C,G40',Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590.549
1930.0,22 Jul 1930 - 14:45 ,Group 1,Estadio Centenario,Montevideo ,Argentina,3.0,1.0,Chile, ,41459.0,2.0,1.0,LANGENUS Jean (BEL),CRISTOPHE Henry (BEL),SAUCEDO Ulises (BOL),201.0,1084.0,ARG,CHI,CHI,ORTH Gyorgy (HUN),S,0,Guillermo SUBIABRE,C,G15',Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590.549
1934.0,31 May 1934 - 16:30 ,Quarter-finals,Littorale,Bologna ,Austria,2.0,1.0,Hungary, ,23000.0,1.0,0.0,MATTEA Francesco (ITA),ESCARTIN Pedro (ESP),BIRLEM Alfred (GER),418.0,1106.0,AUT,HUN,AUT,MEISL Hugo (AUT),S,0,Johann HORVATH,C,G8',Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363.000
1934.0,07 Jun 1934 - 18:00 ,Match for third place,Giorgio Ascarelli,Naples ,Germany,3.0,2.0,Austria, ,7000.0,3.0,1.0,CARRARO Albino (ITA),CAIRONI Camillo (ITA),ESCARTIN Pedro (ESP),3491.0,1105.0,GER,AUT,AUT,MEISL Hugo (AUT),S,0,Johann HORVATH,C,G28',Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363.000
1938.0,05 Jun 1938 - 17:00 ,First round,Velodrome Municipale,Reims ,Hungary,6.0,0.0,Dutch East Indies, ,9000.0,4.0,0.0,CONRIE Roger (FRA),DE LA SALLE Charles (FRA),WEINGARTNER Karl (AUT),206.0,1173.0,HUN,INH,HUN,DIETZ Karoly (HUN),S,0,Gyorgy SAROSI,C,G28' G89',France,Italy,Hungary,Brazil,Sweden,84,15,18,375.700
1938.0,09 Jun 1938 - 18:00 ,First round,Stade Municipal,Toulouse ,Cuba,2.0,1.0,Romania, ,8000.0,0.0,1.0,BIRLEM Alfred (GER),CAPDEVILLE Pierre (FRA),MARENCO Paul (FRA),206.0,1157.0,CUB,ROU,ROU,BRAUN Coloman (ROU),S,0,Stefan DOBAY,C,G35',France,Italy,Hungary,Brazil,Sweden,84,15,18,375.700
